iteration, destination,60->63,60->64,66->98,66->97,108->111,108->112,40->43,40->44,77->80,77->79,6->22,6->21,70->77,70->78,72->76,72->75,21->24,21->23,9->11,9->12,8->15,8->16,52->59,52->60,3->6,3->5,39->42,39->41,91->93,91->94,78->82,78->81,101->104,101->103,121->123,121->124,45->47,45->48,67->70,67->69,86->90,86->89,54->58,54->57,102->105,102->106,113->116,113->115,68->83,68->84,115->118,115->117,100->107,100->108,15->18,15->17,116->119,116->120,69->72,69->71,38->45,38->46,51->53,51->54,85->87,85->88,10->13,10->14,92->96,92->95,24->28,24->27,65->67,65->68,107->109,107->110,114->121,114->122,29->32,29->31,5->7,5->8,99->101,99->102,30->33,30->34,2->66,2->65,23->26,23->25,46->49,46->50,59->62,59->61,83->85,83->86,37->39,37->40,53->56,53->55,71->74,71->73,4->36,4->35,7->10,7->9,122->125,122->126,16->19,16->20,84->91,84->92,98->114,98->113,36->52,36->51,97->99,97->100,1->3,1->4,0->1,0->2,22->30,22->29,35->37,35->38,
119,125,1.0,1.0,1.3594873737745736E7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.661446278679398E7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,210264.7861018076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.376215002140543E8,1.0,1.0,1.0,1.0,1.0,9.661446278679398E7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,
120,125,1.0,1.0,9.661446278679398E7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.376215002140543E8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1765780.9632590269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.928948280670873E9,1.0,1.0,1.0,1.0,1.0,6.376215002140543E8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2225.048498325287,1.0,1.0,1.0,1.0,
121,125,1.0,1.0,6.376215002140543E8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.928948280670873E9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3594873737745736E7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2713007263159412E10,1.0,1.0,1.0,1.0,1.0,3.928948280670873E9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22777.64321442675,1.0,1.0,1.0,1.0,
122,125,1.0,1.0,3.928948280670873E9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2713007263159412E10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.661446278679398E7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2371930760744394E11,1.0,1.0,1.0,1.0,1.0,2.2713007263159412E10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,210264.7861018076,1.0,1.0,1.0,1.0,
123,125,1.0,1.0,2.2713007263159412E10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2371930760744394E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.376215002140543E8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.374695380899951E11,1.0,1.0,1.0,1.0,1.0,1.2371930760744394E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1765780.9632590269,1.0,1.0,1.0,1.0,
124,125,1.0,1.0,1.2371930760744394E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.374695380899951E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.928948280670873E9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.117982410207972E12,1.0,1.0,1.0,1.0,1.0,6.374695380899951E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3594873737745736E7,1.0,1.0,1.0,1.0,
125,125,1.0,1.0,6.374695380899951E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.117982410207972E12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2713007263159412E10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4523515037723238E13,1.0,1.0,1.0,1.0,1.0,3.117982410207972E12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.661446278679398E7,1.0,1.0,1.0,1.0,
126,125,1.0,1.0,3.117982410207972E12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4523515037723238E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2371930760744394E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.4613102808305734E13,1.0,1.0,1.0,1.0,1.0,1.4523515037723238E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.376215002140543E8,1.0,1.0,1.0,1.0,
127,125,1.0,1.0,1.4523515037723238E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.4613102808305734E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.374695380899951E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7528145960578703E14,1.0,1.0,1.0,1.0,1.0,6.4613102808305734E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.928948280670873E9,1.0,1.0,1.0,1.0,
128,125,1.0,1.0,6.4613102808305734E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7528145960578703E14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.117982410207972E12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1258999068426365E15,1.0,1.0,1.0,1.0,1.0,2.7528145960578703E14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2713007263159412E10,1.0,1.0,1.0,1.0,
129,125,1.0,1.0,2.7528145960578703E14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1258999068426365E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4523515037723238E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.4305837283229405E15,1.0,1.0,1.0,1.0,1.0,1.1258999068426365E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2371930760744394E11,1.0,1.0,1.0,1.0,
130,125,1.0,1.0,1.1258999068426365E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.4305837283229405E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.4613102808305734E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6809491491404644E16,1.0,1.0,1.0,1.0,1.0,4.4305837283229405E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.374695380899951E11,1.0,1.0,1.0,1.0,
131,125,1.0,1.0,4.4305837283229405E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6809491491404644E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7528145960578703E14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1603458704489408E16,1.0,1.0,1.0,1.0,1.0,1.6809491491404644E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.117982410207972E12,1.0,1.0,1.0,1.0,
132,125,1.0,1.0,1.6809491491404644E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1603458704489408E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1258999068426365E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1846119816080736E17,1.0,1.0,1.0,1.0,1.0,6.1603458704489408E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4523515037723238E13,1.0,1.0,1.0,1.0,
133,125,1.0,1.0,6.1603458704489408E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1846119816080736E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.4305837283229405E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5087488911539328E17,1.0,1.0,1.0,1.0,1.0,2.1846119816080736E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.4613102808305734E13,1.0,1.0,1.0,1.0,
134,125,1.0,1.0,2.1846119816080736E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5087488911539328E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6809491491404644E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5051818969847132E18,1.0,1.0,1.0,1.0,1.0,7.5087488911539328E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7528145960578703E14,1.0,1.0,1.0,1.0,
135,125,1.0,1.0,7.5087488911539328E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5051818969847132E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1603458704489408E16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.1245164774480005E18,1.0,1.0,1.0,1.0,1.0,2.5051818969847132E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1258999068426365E15,1.0,1.0,1.0,1.0,
136,125,1.0,1.0,2.5051818969847132E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.1245164774480005E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1846119816080736E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5645346373216903E19,1.0,1.0,1.0,1.0,1.0,8.1245164774480005E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.4305837283229405E15,1.0,1.0,1.0,1.0,
137,125,1.0,1.0,8.1245164774480005E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5645346373216903E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5087488911539328E17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.888609052209907E19,1.0,1.0,1.0,1.0,1.0,2.5645346373216903E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6809491491404644E16,1.0,1.0,1.0,1.0,
138,125,1.0,1.0,2.5645346373216903E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.888609052209907E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5051818969847132E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3673710308430122E20,1.0,1.0,1.0,1.0,1.0,7.888609052209907E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1603458704489408E16,1.0,1.0,1.0,1.0,
139,125,1.0,1.0,7.888609052209907E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3673710308430122E20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.1245164774480005E18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.938532735814896E20,1.0,1.0,1.0,1.0,1.0,2.3673710308430122E20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1846119816080736E17,1.0,1.0,1.0,1.0,
140,125,1.0,1.0,2.3673710308430122E20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.938532735814896E20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5645346373216903E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9880926220377344E21,1.0,1.0,1.0,1.0,1.0,6.938532735814896E20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5087488911539328E17,1.0,1.0,1.0,1.0,
141,125,1.0,1.0,6.938532735814896E20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9880926220377344E21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.888609052209907E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.574151217917383E21,1.0,1.0,1.0,1.0,1.0,1.9880926220377344E21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5051818969847132E18,1.0,1.0,1.0,1.0,
142,125,1.0,1.0,1.9880926220377344E21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.574151217917383E21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3673710308430122E20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5306467074864425E22,1.0,1.0,1.0,1.0,1.0,5.574151217917383E21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.1245164774480005E18,1.0,1.0,1.0,1.0,
